Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
GS00001,GC 567.9 Be444 2006,Discovering dinosaurs mighty giants,"Benton, Michael",2006,,1842399012,London,Alligator Books Limited,GC,32p: col.ill.;,w/ index,
GS00002,R 032 D331 2017,My first question and answered book,,2017,,,China,Kelly Miles Publishing Ltd.,R,384p: col. ill.;,w / index,
GS00003,FIC 813.54 K25 1995,The Nancy Drew notebook: the best detective,"Keene, Carolyn",1995,,671879529,New York,Pocket Books,FIC,76p: ill.;,,
GS00004,GC 212 L9400 1984,Our lady of Fatima,"Lovasik, Lawrence",1984,,,New York,Catholic Book Publishing Co.,GC,32p: col. ill.;,,
GS00005,EB 220.9595 B582 2019,Bible story: Noah,,2019,,,Manila,WS Pacific Publication Inc.,EB,col. ill.;,,
GS00006,R 658 2003,100 things you need to know,,2003,,,New York,Scholastic,R,64p: ill.;,,
GS00007,GC 507.8 T561 2003,Experiments with sports,"Tocci, Salvatore",2003,,516227890,Canada,Children's Press,GC,47p: col. ill.; 22cm,w/ indexes,
GS00008,FIC B864 2018,The surprise storm,"Brody, Jessica",2018,,9781789053050,,Autumn Publishing,FIC,93p: col. ill.; 22cm,,
GS00009,FIC 8113.54 O81 1995,Afternoon on the amazon,"Osborne, Mary Pope",1995,,679863729,New York,Random House,FIC,67p: ill.; 20cm,,
GS00010,FIC S7729 2009,Heidi,The tale Heidi,2009,,9789715182881,Manila,Lampara,FIC,124p: col. ill.; 20cm,,
GS00012,GC 2– M— 1986,Simeon and the baby Jesus,"Maxhausen, Evelyn",1986,,,,Concordia Publishing House,,,,
GS00013,GC 220.95 W33 2014,Young learner's bible stories,"Watson, Carol",2014,,9781842399507,London,Alligator Books,GC,48p: col. Ill.; 29cm,,
GS00014,R 551.6 F48 2006,Knowledge masters: weather,"File, Dick",2006,,1842399101,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00015,R 670 L16 2006,Knowledge masters: how things are made,"Lafferty, Peter",2006,,1842399608,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00016,R 609 O98 2006,Knowledge masters: inventions,"Oxlade, Chris",2006,,1842399047,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00017,R 600 O98 2006,Knowledge masters: how things work,"Oxlade, Chris",2006,,1842399616,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00018,R 590 L48 2006,Knowledge masters: monster animals,"Legg, Gerald",2006,,1842399144,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00019,R 567.921 C77 2006,Knowledge masters: dinosaurs,"Cooper, John",2006,,978184239132,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00022,R 423.22 W3877 2006,Webter's new world: children's dictionary,,2006,2nd edition,9780471786887,Canada,Wiley Publishing Inc.,R,928p: col. Ill.; 27cm,,
GS00023,GC 220.95 M46 1975 v.1,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00024,GC 220.95 M46 1975 v.2,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00025,GC 220.95 M46 1975 v.3,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00026,GC 220.95 M46 1975 v.4,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00027,GC 220.95 M46 1975 v.5,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00028,GC 220.95 M46 1975 v.6,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00029,GC 220.95 M46 1975 v.7,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00030,GC 220.95 M46 1975 v.8,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00031,GC 220.95 M46 1975 v.9,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00032,GC 220.95 M46 1975 v.10,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00033,GC 220.95 M46 1975 v.5,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00034,GC 220.95 M46 1975 v.7,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00035,GC 220.9 h95 1994,Kid's bible story book,"Hurlbut, Jesse Lyman",1994,,9789717891736,Canada,"Barbour Publishing, Inc.",GC,363p: ill.; 21cm,,
GS00036,GC 242.62 L89 1981,My Day with Jesus,"Rev. Lawrence G. Lovasik, S.V.D",1981,,,U.S.A,Catholic Book Publishing Co.,GC,32p: col. ill.; 19cm,,
GS00037,R 032.02 E563 2017,Encyclopedia of knowledge,,2017,,9781786173263,China,Kelly Miles Publishing Ltd.,R,384p: col. ill.; 23cm,,
GS00038,FIL 031.02 M23 2011,100 questions Filipino kids ask,,2011,,,,Adarna House,FIC,199p: col. ill.; 32cm,,
GS00039,R 550 E12 1993,The illustrated dictionary of: earth sciences,"Walters, Martin",1993,,9789715083836,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00040,R603 S41 1993,The illustrated dictionary of: science and technology,"Mellett, Peter",1993,,1857370465,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00041,R 612.003 H91 1993,The illustrated dictionary of: the human body,"Sainsbury, Mal",1993,,1857370864,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00042,R 523.111 S73 1992,The illustrated dictionary of: space,"Pollard, Michael",1993,,1857370910,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00043,R 574.5 E19 1993,The illustrated dictionary of: ecology and plant life,"Walters, Martin",1993,,1857370023,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00044,R 500 M74 1993,The illustrated dictionary of: machines,"Pollard, Michael",1993,,1857370961,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00045,R 500 M74 1993,The illustrated dictionary of: money and mathematics,"Nugent, Mike",1993,,1857370074,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00046,R 608 I6 1993,The illustrated dictionary of: inventiors and inventions,"Pollard, Michael",1993,,1857370139,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00047,R 608 I6 1993 c.1,The illustrated dictionary of: inventiors and inventions,"Pollard, Michael",1993,,1857370139,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00048,R 551.46 O15 1993,The illustrated dictionary of: oceanography,"Bailey, Jill",1993,,1857370082,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00049,R 500 m74 1993,The illustrated dictionary of: infomation technology,"Cohn, Zachary",1993,,1857370236,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00050,R 500 m74 1993 c.1,The illustrated dictionary of: infomation technology,"Cohn, Zachary",1993,,1857370236,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00051,R 910.13 N27 2018,Almanac 2019,,2018,,9781426330162,Washington,National Geographic,R,351p: col. ill.; 23cm,,
GS00052,R 031.02 T97 2013,2014 almanac for kids,,2013,,9780545562645,New York,"Scholastic, Inc.",R,352p: col. ill.; 23cm,w/ indexes,
GS00053,R 551.46 O15 2012,Children's cyclopedia: ocean,,2012,,9781603462389,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00054,R 930 A54 2012,Junior Illustrated Children Encyclopedia: ancient civilizations,,2012,,9788189911457,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00055,R 530.80 R576c 1993,"Clocks, scales & measurements","Robson, Pam",1993,,9781573351512,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00056,R 525 E12 2012,Junior Illustrated Children Encyclopedia: earth and environment,,2012,,9789673780099,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00057,R 534.07820 S49s 1992,"Sound, noise & music","Seller, Mick",1992,,9781573351492,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00058,R 535.07820 R576i 1993,"Light, color & lenses","Robson, Pam",1992,,9781573351504,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00059,R 791.43 H24 2012,Junior Illustrated Children Encyclopedia: animal kingdom,,2012,,9789673780080,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00060,R 523.1 H24 2012,Junior Illustrated Children Encyclopedia: universe,,2012,,9789673780037,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00061,R 910 H24 2012,Junior Illustrated Children Encyclopedia: continents and countries,,2012,,9789673780102,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00062,R 537 R63 1993,Electricity,"Robson, Pam",1992,,9781569240090,New York,Shooting Star Press,R,31p: col. ill.; 30cm,,
GS00063,R 580 H24 2012,Junior Illustrated Children Encyclopedia: continents and countries,,2012,,9789673780068,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00064,R —2015,Animals: discover the amazing diversity of nature,,2015,,9781472393319,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00065,R 613 H91 2012,Human body,,2012,,978160346235,India,Golden Book International Trading Inc.,R,48p: col.ill.; 29cm,,
GS00066,GC 611 W331 2007,The human body,,2007,English edition,9780709717751,,Broown Watson,GC,29p: col. ill.; 29cm,,
GS00067,R —2015,Dinosaurs: meet the giants of the prehistoric world,,2015,,9781472393326,China,Parragon Books Ltd.,R,77p: col. ill.;28cm,,
GS00068,R —2015,Our world: explore the natural wonders of planet earth,,2015,,9781472393340,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00069,R 551.46 H24 2012,Junior Illustrated Children Encyclopedia: sea world,,2012,,97881899011447,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00070,R 912 W9301 2006,Knowledge masters: how things are made,"Wright, Nicola",2006,,9781842399088,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00071,R 571.3 P71 2012,Plants,,2012,,9781603462396,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00072,R 423.17 J954 2016,Junior picture dictionary,,2016,,9781782099703,China,Kelly Miles Publishing Ltd.,R,192p: col. ill.; 30cm,w/ index,
GS00073,R 574.1 H91 2015,Human body: see how the body works from head to toe,,2015,,9781472393333,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00075,R 551.7 E12 2012,Earth,,2012,,9781603462341,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00076,R302.2 C73 2012,Communication,,2012,,9781603462334,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00077,R 523.1 U58 2012,Universe,,2012,,9781603462419,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00078,R 520 P259 2015,Outer space: take a fasacinating journey through the universe,,2015,,9781472393357,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00080,R 423 E47 1994,First dictionary,,1994,,9780395672899,New York,Houghton Mifflin Company,R,362p: col. ill.; 26cm,,
GS00081,R 590 A59 2012,Animal world,,2012,,9781603462327,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00082,R 591 A48 2009,Amazing animals of the world: past and present,,2009,,9780755477241,Manila,"WS Pacific Publications, Inc.",R,41p: col. ill.; 30cm,,
GS00083,R 1982,The britannica story book,,1982,,852294069,Chicago,"Encyclopedia Britannica, Inc.",R,col.ill.; 24cm,,
GS00084,R 736 O69,Fantastic origami: step by step,,,,9789381347553,Indai,Youn Learner Publications,R,16p: col. ill.; 28cm,,
GS00085,R 58.74 W68 2001,Grasslands,"Wilkins, Sally",2001,,9780736808378,Minnesota,Bridgestone Books,R,24p: col. ill.; 21cm,,
GS00086,FIL 921 E56 1997,Ang pamana ni andres bonifacio,,2013,,971508043X,,"Adarna House, Inc.",FIC,[30]p: col.ill.;23cm,,
GS00087,FIL 372.4 H13 2006,"Hale, hale, hoy! : Mga laro, kanta tugma, at bugtong ng 
batang Filipino",Adarna House,2006,,9789715082907,,"Adarna House, Inc.",FIC,"152P: some col. ill.; 
19cm",,
GS00088,GC 372.44 B947 1998,Vocabulary cartoons: building an educated vocabulary with visual mnemonics,"Burchers, Sam",1998,,0-9652422-7-7,"Punta Gorda, Florida",New Monics Book,GC,250p: illustrations; 26 cm.,,
GS00089,TR 372.37 B171 2008,Guide for teaching health and wellness book 6 : source book for elementary teachers,"Balabagno, Arceli B. Ocampo-,
Barcelo, Teresita Irigo,
Bonito, Sheila R.",2008,,978-971-27-2055-0,Pasig CIty,"Anvil Publishing, Inc.",TR,"x, 86 p: 23 cm",,
GS00090,GC 920 L89 1981,"Blessed Kateri Tekakwitha: '""the Lily of Mohawks'""","Rev. Lovasik, Lawrence G.",1981,,,New York,Catholic Book Publishing Co.,GC,32p: col. ill.; 19cm,,
GS00091,GC 808 R91 2001,English,"Rueda, Robert",2001,,618030786,Boston,Houghton Mifflin,GC,"x, 371p: col. ill.; 26cm",,
GS00092,GC 031.19 C436h 1982,Childcraft: the how and why library,,1982,,716601826,Chicago,"World Book-Childcraft International, Inc.",GC,304p: col. ill.; 26cm,w/ index,
GS00093,R 900 M235 1966,The world of the past: our history through ages,"McNicol, Harry",1966,,,London,The Grolier Society Ltd.,R,392p: ill.; 26cm,,
GS00094,GC 809.89 M14 1962,Junior classics: just around the corner,"Martignoni, Margaret E.",1962,,,New York,The Crowell-Collier Publishing Co.,GC,372p.: ill.; 25cm,,
GS00095,GC 809.89 M14 1964,Junior classics: harvest of holidays,"Martignoni, Margaret E.",1964,,,New York,The Crowell-Collier Publishing Co.,GC,372p.: ill.; 25cm,,
GS00096,GC 809.89 M14 1964,Junior classics: magic in the air,"Martignoni, Margaret E.",1964,,,New York,The Crowell-Collier Publishing Co.,GC,372p.: ill.; 25cm,,
GS00097,GC 809.89 M14 1964,Junior classics: call of adventure,"Martignoni, Margaret E.",1964,,,New York,The Crowell-Collier Publishing Co.,GC,372p.: ill.; 25cm,,
GS00098,GC 809.89 M14 1964,Junior classics: ABC go,"Martignoni, Margaret E.",1964,,,New York,The Crowell-Collier Publishing Co.,GC,372p.: ill.; 25cm,,
GS00099,GC 507 SE4887 1993,"Elements, mixtures and reactions","Seller, Mick",1993,,1573353280,New York,Shooting Star Press Inc.,GC,32p: col. ill.; 30cm,w/ index,
GS00100,R 612 H24 2012,Junior Illustrated Children Encyclopedia: human body,,2012,,9673780056,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00101,R 520 M15 2004,Picture encyclopedia,"McKie, Anne",2004,,,,Grandreams Books Limited,R,45p: col. ill.; 29cm,,
GS00102,R 621.9 M14 2012,Machines & tools,,2012,,9781603462372,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00103,R 574.1 H91 2015,Sharks: get up close to the ocean's most feared hunters,,2015,,9781472393364,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,w/ index,
GS00104,GC 030.9 IN8 2005,Instant encyclopedia: facts in a flash!,,2009,,1590604946,New York,Playmore Inc.,GC,143p.: ill.; 21cm,,
GS00105,GC 030.9 IN8 2005 c.1,Instant encyclopedia: facts in a flash!,,2009,,1590604946,New York,Playmore Inc.,GC,143p.: ill.; 21cm,,
GS00106,R 796.02 B92 2015,Year in sports 2015,,2015,,9780545679534,"Scholastic, Inc.",,R,192p: col. ill.; 24cm,,
GS00107,R 590 E56 2007,Endangered animals dictionary,,2007,,9781847501462,London,Alligator Books Ltd,R,64p: col. ill.; 29cm,w/ index,
GS00110,R 608 H24 2012,Junior Illustrated Children Encyclopedia: invention and discoveries,,2012,,9789673780072,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00111,R 505 H24 2012,Junior Illustrated Children Encyclopedia: science,,2012,,9789673780048,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00112,R 500 S41 2012,Science,,2012,,9781603462402,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00113,R 2009,1001 children's books you must read before you grow up,"Blake, Quentin",2009,,9781844036714,London,Cassell Illustrated,R,960p.: col. ill.; 21cm,,
GS00114,R 599.78 L9688 2005,All about animals: bears,"Lukas, Catherine",2005,,9781599390369,New York,Reader's Digest Young Families,R,45p.: col. ill.; 24cm,,
GS00115,R 574 M955p 1990,Plants and animals ways,,1990,,,Chicago,Standard Educational Corporation,R,192p.: col. ill.; 26cm,,
GS00116,R 609.22 I62 2012,Inventors & scientists,,2012,,9781603462365,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00117,R 500.22 A65h 2005,The stunning science of everything,"Arnold, Nick",2005,,9780439959055,London,Sholastic Children's Book,R,93p.: col. ill.; 30cm,,
GS00118,R 621.815 P92 1993,The illustrated dictionary of: prehistoric life,"Walters, Martin",1993,,185737018,,Merlion Publishing Ltd,R,160p.: col. ill.; 29cm,,
GS00119,EB 899.2113 S249b 2014,A boy named Ibrahim,"Sarte, Sitti Aminah ""Flexi""",2014,,9789715084833,,"Adarna House, Inc.",EB,[28] pages : col. ill. ; 23 cm.,,
GS00120,FIC 813 R45 2009,Tara na sa entablado!: Mga dulang pang-classroom ng mga kuwento ni lola basyang ni severino reyes,"Bellen, Christine S.",2009,,9789712722509,Manila,Anvil Publishing Inc.,FIC,132p. ; 22 cm.,,
GS00121,FIC B63c 1994,The Cuckoo in the Clock and other stories,"Blyton, Enid",1994,,1841354406,Award Publications Limited,,FIC,192p. : ill. ; 20cm.,,
GS00122,FIC C5916L 2005,Lunch money,"Selznick, Brian",2005,,439850886,New York,Scholastic Inc.,FIC,222p. : ill. ; 22cm.,,
GS00123,FIC B661m 2014,The magic brush...and other stories,"Blyton, Enid",2014,,9780753726747,London,Octopus Publishing Group Ltd,FIC,192p. : ill. ; 20cm.,,
GS00124,FIC 791.43 A23; [199?],The story of Robin hood,"Aden, Manpreet K.",,,9789351200215,India,Future,FIC,142p. : ill. ; 18cm.,,
GS00125,FIC 823.8 G74; 2011,The wind in the willows,"Grahame, Kenneth",2011,,9789715186179,Phillipines,"Lampara Building House, Inc.",FIC,122p. : ill. ; 20cm.,,
GS00126,FIC 813.54 C62; 2004,The report card,"Clements, Andrew",2004,,439692385,New York,Scholastic Inc.,FIC,173p. ; 22cm.,,
GS00127,FIC B63g 2000,Giants around the corner and other stories,"Blyton, Enid",2000,,1841354805,Singapore,Award Publications Limited,FIC,190p. : ill. ; 20cm.,,
GS00128,FIC 808.83 B66 1977,The children of willow farm,"Blyton, Enid",1973,,603032931,London,Purnell and Sns Ltd.,FIC,184p. ; 19cm.,,
GS00129,R 808.899 En72f 2005,Fun and surprises: fourth primer,"Enriquez, Salud R.",2005,,9710344218,Quezon City,Amos Books. Inc.,R,154p. : ill. ; 23cm.,,
GS00130,R 808.899 En72f 2005 c.1.,Fun and surprises: fourth primer,"Enriquez, Salud R.",2005,,9710344218,Quezon City,Amos Books. Inc.,R,154p. : ill. ; 23cm.,,
GS00131,R 808.899 En72f 2005 c.2.,Fun and surprises: fourth primer,"Enriquez, Salud R.",2005,,9710344218,Quezon City,Amos Books. Inc.,R,154p. : ill. ; 23cm.,,
GS00132,FIC 791.43 D88; [199?],The three musketeers,"Dumas, Alexandre",,,9789351200291,India,Future,FIC,143p. : ill. ; 18cm.,,
GS00133,FIC B368t 2011,Trouble at Rose Cottage,"Bearn, Emily",2011,,9781405256551,London,Egmont UK Limited,FIC,224p. : ill. ; 18cm.,,
GS00134,FIC 823.8 C31; 1981,The adventures of Tom Sawyer,"Twain, Mark",2005,,8182522609,India,Wilco Publishing House,FIC,246p. ; 19cm.,,
GS00135,GC 004. 678071 V227a 2013,Abc's of the web,"Vanden-Heuvel, John C.",2013,,9781783421923,United Kingdom,Bonnier Publishing Group.,GC,ill. ; 22cm.,,
GS00136,FIC B63b 1998,The banana robber and other stories,"Blyton, Enid",1998,,1841354317,Singapore,Award Publications Limted,FIC,192p. : ill. ; 20cm.,,
GS00137,FIC 813. 4 A35; 2000 c. 2,Little women,"Alcott, Louisa May",2011,,9789715184984,Phillipines,"Lampara Building House, Inc.",FIC,127p. : ill. ; 20cm.,,
GS00138,FIC 813. 54 C62; 2001,The school story,"Clements, Andrew",2001,,439814073,New York,Scholastic Inc.,FIC,296p. : ill. ; 19cm.,,
GS00139,FIC 813. 6 D88; 2010,The three musketeers,"Dumas, Alexandre",2010,,9789715183826,Phillipines,"Lampara Building House, Inc.",FIC,127p. : ill ; 20cm.,,
GS00140,FIC 813.4 D54; 2012 c. 2,A chirtmas carol,"Dickens, Charles",2012,,9789715186162,Phillipines,"Lampara Building House, Inc.",FIC,121p. : ill. ; 19cm.,,
GS00141,FIC 813. 6 D51; 1999,Full house sisters one boss too many,"Speregen, Devra Newberger",1999,,671021508,New York,Pocket Books,FIC,153p. ; 19cm.,,
GS00142,FIC 813. 4 D54; 2012 c. 1,A chirtmas carol,"Dickens, Charles",2012,,9789715186162,Phillipines,"Lampara Building House, Inc.",FIC,121p. : ill. ; 19cm.,,
GS00143,FIC 823. 8 D54 2011 c. 2,Oliver twist,"Dickens, Charles",2011,,9789715184779,Phillipines,"Lampara Building House, Inc.",FIC,127p. : ill. ; 20cm.,,
GS00144,FIC 823. 8 D54 2011 c. 1,Oliver twist,"Dickens, Charles",2011,,9789715184779,Phillipines,"Lampara Building House, Inc.",FIC,127p. : ill. ; 20cm.,,
GS00145,FIC B63b 1996,The brave toy soldier and other stories,"Blyton, Enid",1996,,184135452,Singapore,Award Publications Limited,FIC,192p. : ill. ; 20cm.,,
GS00146,FIC B63m 2002,Mr. Wumble and the dragon and other stories,"Blyton, Enid",2002,,1841354856,Singapore,Award Publications Limited,FIC,191p. : ill. ; 20cm.,,
GS00147,FIC B63m 2002,Mr. Wumble and the dragon and other stories,"Blyton, Enid",2002,,1841354856,Singapore,Award Publications Limited,FIC,191p. : ill. ; 20cm.,,
GS00148,FIC B63u 1989,The ugly old scarecrow and other stories,"Blyton, Enid",1989,,1841354627,Singapore,Award Publications Limited,FIC,192p. : ill. ; 20cm.,,
GS00149,FIC G621h s. 14,The handle harbor mystery,"Dixon, Franklin",1990,,9780448089140,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 20cm.,,
GS00150,FIC D621h 1978 s. 2,The house on the clifFIL,"Dixon, Franklin",1987,,448089025,New York,"Grosset & Dunlap, Inc.",FIC,180p. : ill. ; 19cm.,,
GS00151,FIC D621FIL 1978 s. 57,The firebird rocket,"Dixon, Franklin",1978,,448089572,New York,"Grosset & Dunlap, Inc.",FIC,180p. : ill. ; 19cm.,,
GS00152,FIC D621FIL 1993 s. 16,A figure in hiding,"Dixon, Franklin",1993,,448089165,New York,"Grosset & Dunlap, Inc.",FIC,176p. ; 19cm.,,
GS00153,FIC D621FIL 1993 s. 12,Footprints under the window,"Dixon, Franklin",1993,,448089122,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 19cm.,,
GS00154,FIC D621c 1990 s. 41,The clue of the screeching owl,"Dixon, Franklin",1990,,448089416,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 19cm.,,
GS00155,FIC D621c 1977 s. 21,The clue nof the broken blade,"Dixon, Franklin",1977,,448089211,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00156,FIC D621b 1970 s. 49,The bombay boomerang,"Dixon, Franklin",1970,,448089491,New York,"Grosset & Dunlap, Inc.",FIC,179p. ; 19cm.,,
GS00157,FIC D621a 1997 s. 48,The arctic patrol mystery,"Dixon, Franklin",1997,,448089483,New York,"Grosset & Dunlap, Inc.",FIC,176p. ; 19cm.,,
GS00158,FIC D621a 1997 s. 48,The arctic patrol mystery,"Dixon, Franklin",1997,,448089483,New York,"Grosset & Dunlap, Inc.",FIC,176p. ; 19cm.,,
GS00159,FIC B661v 2007,The valley of adventure,"Blyton, Enid",1947,,9781447205258,London,Macmillan Children's Books,FIC,277p. ; 19cm.,,
GS00160,FIC B36t 1989,The tower in ho-ho wood and other stories,"Blyton, Enid",1989,,1841354635,Singapore,Award Publications Limited,FIC,192p. : ill. ; 19cm.,,
GS00161,F 823 H318r 2013,The rescue princesses,"Harrison, Paula",2013,,9780545509176,United States of America,Scholastic Inc.,FIC,114p. : ill. ; 19cm.,,
GS00162,F 813 C784L,The last of the Mochicans,"Cooper, Fenimore James",,,,United Kingdom,Ladybird Books Ltd,FIC,51p. : ill. ; 18cm.,,
GS00163,R 423 W391 2002,English Dictionary,Geddes & Grosset,2002,,842052659,Scotland,Davil Dale House,R,255p. ; 14cm.,,
GS00164,FIC 823.91 D13; 1984,Boy tales of childhood,"Dahl, Roald",1984,,590538284,New York,Scholastic Inc.,FIC,176p. : ill. ; 19cm.,,
GS00165,FIC B63 I 1993,Look out for the Elephant and other stories,"Blyton, Enid",1993,,,Singapore,Award Publications Limited,FIC,190p. : ill. ; 20cm.,,
GS00166,FIC R961p 2015,Dork diaries puppy love,"Russell, Rachel Renee",2015,,97814711168659,London,Simon & Schuster UK Ltd.,FIC,,,
GS00167,FIC 813.4 A35; 2000 c. 1,Little women,"Alcott, Louisa May",2014,,9789715184984,Phillipines,"Lampara Building House, Inc.",FIC,127p. : ill. ; 20cm.,,
GS00168,FIC 823.91 D13; 1988,Matilda,Dahl. Roald,1988,,590996835,New York,Scholastic Inc.,FIC,240p. : ill. ; 20cm.,,
GS00169,FIC 813.6 G16; 2001,Full house systers a dog's life,"Gallagher, Diana",2001,,671040936,New York,Award Publications Limited,FIC,166p. ; 19cm.,,
GS00170,FIC T711 1998,Treasury of mother goose rhymes,"Weber, Louis",1998,,785317279,United States of America,"Publications International, Ltd.",FIC,384p. : ill. ; 22cm.,,
GS00171,FIC D6621s 1997 s. 31,The secret of wildcat swamp,"Dixon, Franklin",1997,,448089319,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00172,FIC D621s 1975 s. 27,The secret of skull mountain,"Dixon, Franklin",1975,,448089270,New York,"Grosset & Dunlap, Inc.",FIC,177p. ; 19cm.,,
GS00173,FIC d621s 1995 s. 46,The secret agent on flight 101,"Dixon, Franklin",1995,,448089467,New York,"Grosset & Dunlap, Inc.",FIC,176p. ; 19cm.,,
GS00174,FIC D621s 1976 s. 28,The sign of the crookoed arrow,"Dixon, Franklin",1976,,448089289,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 20cm.,,
GS00175,FIC D621s 1972 s. 36,The secret of pilates' hill,"Dixon, Franklin",1972,,44808936,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00176,FIC D621s 1974 s. 25,The secret panel,"Dixon, Franklin",1974,,448089254,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00177,FIC D621s 1972 s. 36,The secret of pirates' hill,"Dixon, Franklin",1972,,44808936,New York,"Grosset & Dunlap, Inc.",FIC,178p. ; 19cm.,,
GS00178,FIC D621n 1979 s. 59,Night of the warewolFIL,"Dixon, Franklin",1979,,448436965,New York,"Grosset & Dunlap, Inc.",FIC,181p. ; 19cm.,,
GS00179,FIC D621m 1995 s. 13,The mark on the door,"Dixon, Franklin",1995,,448089130,New York,"Grosset & Dunlap, Inc.",FIC,175p. ; 19cm.,,
